"Total de registros", 899
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2CENTRO","2457","2457","C2C-ALAMED-2457-2457-PTZ","11"
"C2CENTRO","10145","122708","C2C-TLATEL-122708-10145-FIJA","11"
"C2CENTRO","7980","113768","C2C-BUENAV-113768-7980-FIJA","10"
"C2CENTRO","8034","121054","C2C-ROMA-121054-8034-FIJA","10"
"C2CENTRO","10123","122668","C2C-CENTRO-122668-10123-FIJA","10"
"C2CENTRO","6650","6650","C2C-ASTURI-6650-6650-PTZ","10"
"C2CENTRO","10123","122669","C2C-CENTRO-122669-10123-FIJA","10"
"C2CENTRO","6650","122262","C2C-ASTURI-122262-6650-FIJA","10"
"C2CENTRO","10025","10025","C2C-ROMA-10025-10025-PTZ-20M","10"
"C2CENTRO","9111","122471","C2C-ASTURI-122471-9111-FIJA","9"
"C2CENTRO","9422","122586","C2C-TLATEL-122586-9422-FIJA","9"
"C2CENTRO","2293","122009","C2C-ASTURI-122009-2293-FIJA","9"
"C2CENTRO","6650","122260","C2C-ASTURI-122260-6650-FIJA","9"
"C2CENTRO","10055","122639","C2C-CENTRO-122639-10055-FIJA","9"
"C2CENTRO","10105","126471","C2C-BUENAV-126471-10105-FIJA","9"
"C2CENTRO","10105","126473","C2C-BUENAV-126473-10105-FIJA","9"
"C2CENTRO","10105","126474","C2C-BUENAV-126474-10105-FIJA","9"
"C2CENTRO","10105","10105","C2C-BUENAV-10105-10105-PTZ","9"
"C2CENTRO","2440","180058","C2C-CENTRO-180058-2440-FIJA","9"
"C2CENTRO","7978","115451","C2C-ALAMED-115451-7978-FIJA","8"
"C2CENTRO","132","100355","C2C-TLATEL-100355-132-FIJA","8"
"C2CENTRO","8057","122412","C2C-TLATEL-122412-8057-FIJA","8"
"C2CENTRO","7980","113765","C2C-BUENAV-113765-7980-FIJA","8"
"C2CENTRO","9291","118085","C2C-ASTURI-118085-9291-FIJA","8"
"C2CENTRO","2543","121129","C2C-CENTRO-121129-2543-FIJA","8"
"C2CENTRO","10105","126472","C2C-BUENAV-126472-10105-FIJA","8"
"C2CENTRO","8058","122418","C2C-TLATEL-122418-8058-FIJA","8"
