"Total de registros", 5261
"Sitio","Id STV","Id Flujo","Etiqueta","Eventos"
"C2PONIENTE","12915","115154","C2P-HORMIG-115154-12915-FIJA","26"
"C2PONIENTE","1518","103442","C2P-CHAPUL-103442-1518-FIJA","25"
"C2PONIENTE","12737","121442","C2P-SANTAF-121442-12737-FIJA","25"
"C2PONIENTE","3151","123934","C2P-SOTELO-123934-3151-FIJA","25"
"C2PONIENTE","7880","114884","C2P-POLANC-114884-7880-4K","24"
"C2PONIENTE","4569","122177","C2P-LARAZA-122177-4569-FIJA","24"
"C2PONIENTE","4376","4376","C2P-PLATER-4376-4376-PTZ","24"
"C2PONIENTE","805","102095","C2P-SANJER-102095-805-FIJA","24"
"C2PONIENTE","4359","119240","C2P-PLATER-119240-4359-FIJA","24"
"C2PONIENTE","3043","119634","C2P-TACUBA-119634-3043-FIJA","23"
"C2PONIENTE","3068","105597","C2P-TACUBA-105597-3068-FIJA","23"
"C2PONIENTE","5480","119420","C2P-PLATER-119420-5480-FIJA","23"
"C2PONIENTE","5887","121403","C2P-CUAJIM-121403-5887-FIJA","23"
"C2PONIENTE","12915","115153","C2P-HORMIG-115153-12915-FIJA","23"
"C2PONIENTE","13125","13125","C2P-ELYAQU-13125-13125-PTZ-20M","23"
"C2PONIENTE","9206","122498","C2P-HORMIG-122498-9206-FIJA","23"
"C2PONIENTE","3147","3147","C2P-TACUBA-3147-3147-PTZ","23"
"C2PONIENTE","3043","119636","C2P-TACUBA-119636-3043-FIJA","23"
"C2PONIENTE","12386","12386","C2P-ALPES-12386-12386-PTZ-20M","23"
"C2PONIENTE","5887","121406","C2P-CUAJIM-121406-5887-FIJA","22"
"C2PONIENTE","805","805","C2P-SANJER-805-805-PTZ","22"
"C2PONIENTE","7366","118624","C2P-TACUBA-118624-7366-FIJA","22"
"C2PONIENTE","4359","119237","C2P-PLATER-119237-4359-FIJA","21"
"C2PONIENTE","12361","12361","C2P-PLATER-12361-12361-PTZ-20M","21"
"C2PONIENTE","6410","119286","C2P-HORMIG-119286-6410-FIJA","21"
"C2PONIENTE","5659","119503","C2P-ALPES-119503-5659-FIJA","21"
"C2PONIENTE","7879","121052","C2P-TACUBA-121052-7879-FIJA","21"
"C2PONIENTE","4534","121450","C2P-PLATER-121450-4534-FIJA","20"
"C2PONIENTE","3215","117851","C2P-POLANC-117851-3215-FIJA","20"
"C2PONIENTE","9206","122496","C2P-HORMIG-122496-9206-FIJA","20"
"C2PONIENTE","7834","113424","C2P-POLANC-113424-7834-FIJA","20"
"C2PONIENTE","805","102096","C2P-SANJER-102096-805-FIJA","20"
"C2PONIENTE","13412","13412","C2P-CHAPUL-13412-13412-PTZ-20M","20"
"C2PONIENTE","8011","122408","C2P-TACUBA-122408-8011-FIJA","19"
"C2PONIENTE","4569","122175","C2P-LARAZA-122175-4569-FIJA","19"
"C2PONIENTE","12556","121345","C2P-PLATER-121345-12556-FIJA","19"
"C2PONIENTE","5901","120339","C2P-CUAJIM-120339-5901-FIJA","19"
"C2PONIENTE","5659","5659","C2P-ALPES-5659-5659-PTZ","19"
"C2PONIENTE","9324","9324","C2P-SOTELO-9324-9324-PTZ","19"
"C2PONIENTE","6410","119287","C2P-HORMIG-119287-6410-FIJA","19"
"C2PONIENTE","12737","121440","C2P-SANTAF-121440-12737-FIJA","19"
"C2PONIENTE","7393","119317","C2P-SOTELO-119317-7393-FIJA","19"
"C2PONIENTE","3043","119635","C2P-TACUBA-119635-3043-FIJA","19"
"C2PONIENTE","4569","122176","C2P-LARAZA-122176-4569-FIJA","18"
"C2PONIENTE","4573","114848","C2P-HORMIG-114848-4573-4K","18"
"C2PONIENTE","5887","5887","C2P-CUAJIM-5887-5887-PTZ","18"
"C2PONIENTE","12556","121342","C2P-PLATER-121342-12556-FIJA","18"
"C2PONIENTE","4511","119725","C2P-SANTAF-119725-4511-FIJA","18"
"C2PONIENTE","7877","121318","C2P-POLANC-121318-7877-FIJA","17"
"C2PONIENTE","7879","121051","C2P-TACUBA-121051-7879-FIJA","17"
"C2PONIENTE","7877","121321","C2P-POLANC-121321-7877-FIJA","17"
"C2PONIENTE","182","100495","C2P-CHAPUL-100495-182-FIJA","17"
"C2PONIENTE","6358","119675","C2P-PLATER-119675-6358-FIJA","17"
"C2PONIENTE","5299","110004","C2P-DINAMO-110004-5299-FIJA","17"
"C2PONIENTE","12919","12919","C2P-CLAVER-12919-12919-PTZ","17"
"C2PONIENTE","1239","102900","C2P-PLATER-102900-1239-FIJA","17"
"C2PONIENTE","4534","121448","C2P-PLATER-121448-4534-FIJA","17"
"C2PONIENTE","12745","12745","C2P-ALPES-12745-12745-PTZ-20M","17"
"C2PONIENTE","1239","102898","C2P-PLATER-102898-1239-FIJA","17"
"C2PONIENTE","12737","12737","C2P-SANTAF-12737-12737-PTZ","17"
"C2PONIENTE","5659","119504","C2P-ALPES-119504-5659-FIJA","17"
"C2PONIENTE","5887","121404","C2P-CUAJIM-121404-5887-FIJA","17"
"C2PONIENTE","7879","121049","C2P-TACUBA-121049-7879-FIJA","17"
"C2PONIENTE","7879","7879","C2P-TACUBA-7879-7879-PTZ","16"
"C2PONIENTE","235","100620","C2P-PLATER-100620-235-FIJA","16"
"C2PONIENTE","6358","119673","C2P-PLATER-119673-6358-FIJA","16"
"C2PONIENTE","4657","108403","C2P-LARAZA-108403-4657-FIJA","16"
"C2PONIENTE","6358","119676","C2P-PLATER-119676-6358-FIJA","16"
"C2PONIENTE","6410","119288","C2P-HORMIG-119288-6410-FIJA","16"
"C2PONIENTE","6358","119674","C2P-PLATER-119674-6358-FIJA","16"
"C2PONIENTE","4359","4359","C2P-PLATER-4359-4359-PTZ","16"
"C2PONIENTE","4534","4534","C2P-PLATER-4534-4534-PTZ","16"
"C2PONIENTE","4407","122169","C2P-PLATER-122169-4407-FIJA","16"
"C2PONIENTE","3043","3043","C2P-TACUBA-3043-3043-PTZ","16"
"C2PONIENTE","805","102093","C2P-SANJER-102093-805-FIJA","16"
"C2PONIENTE","4359","119239","C2P-PLATER-119239-4359-FIJA","16"
"C2PONIENTE","7366","118621","C2P-TACUBA-118621-7366-FIJA","16"
"C2PONIENTE","6358","6358","C2P-PLATER-6358-6358-PTZ","16"
"C2PONIENTE","182","182","C2P-CHAPUL-182-182-PTZ","16"
"C2PONIENTE","4511","119726","C2P-SANTAF-119726-4511-FIJA","16"
"C2PONIENTE","5659","119502","C2P-ALPES-119502-5659-FIJA","16"
"C2PONIENTE","182","100496","C2P-CHAPUL-100496-182-FIJA","16"
"C2PONIENTE","182","100493","C2P-CHAPUL-100493-182-FIJA","16"
"C2PONIENTE","13014","13014","C2P-HORMIG-13014-13014-PTZ","15"
"C2PONIENTE","9288","9288","C2P-HORMIG-9288-9288-PTZ","15"
"C2PONIENTE","1239","1239","C2P-PLATER-1239-1239-PTZ","15"
"C2PONIENTE","182","100494","C2P-CHAPUL-100494-182-FIJA","15"
"C2PONIENTE","3232","3232","C2P-SOTELO-3232-3232-PTZ-20M","15"
"C2PONIENTE","7834","113423","C2P-POLANC-113423-7834-FIJA","15"
"C2PONIENTE","12801","12801","C2P-HORMIG-12801-12801-PTZ-20M","15"
"C2PONIENTE","7877","121320","C2P-POLANC-121320-7877-FIJA","15"
"C2PONIENTE","12556","121344","C2P-PLATER-121344-12556-FIJA","15"
"C2PONIENTE","7393","119320","C2P-SOTELO-119320-7393-FIJA","15"
"C2PONIENTE","C2P-TACUBA-105671-3087-FIJA","105671","C2P-TACUBA-105671-3087-FIJA","15"
"C2PONIENTE","4502","124663","C2P-PLATER-124663-4502-FIJA","14"
"C2PONIENTE","4402","107754","C2P-SANTAF-107754-4402-FIJA","14"
"C2PONIENTE","3261","106066","C2P-POLANC-106066-3261-FIJA","14"
"C2PONIENTE","6403","120994","C2P-CLAVER-120994-6403-FIJA","14"
"C2PONIENTE","7832","113414","C2P-TACUBA-113414-7832-FIJA","14"
"C2PONIENTE","1239","102899","C2P-PLATER-102899-1239-FIJA","14"
"C2PONIENTE","1239","102897","C2P-PLATER-102897-1239-FIJA","14"
"C2PONIENTE","4573","108183","C2P-HORMIG-108183-4573-FIJA","14"
"C2PONIENTE","3043","119633","C2P-TACUBA-119633-3043-FIJA","14"
"C2PONIENTE","13676","13676","C2P-TACUBA-13676-13676-PTZ","14"
"C2PONIENTE","5299","5299","C2P-DINAMO-5299-5299-PTZ","14"
"C2PONIENTE","235","235","C2P-PLATER-235-235-PTZ","14"
"C2PONIENTE","7834","113421","C2P-POLANC-113421-7834-FIJA","14"
"C2PONIENTE","820","123079","C2P-DINAMO-123079-820-FIJA","14"
"C2PONIENTE","7879","121050","C2P-TACUBA-121050-7879-FIJA","14"
"C2PONIENTE","5887","121405","C2P-CUAJIM-121405-5887-FIJA","14"
"C2PONIENTE","4502","124664","C2P-PLATER-124664-4502-FIJA","14"
"C2PONIENTE","4502","4502","C2P-PLATER-4502-4502-PTZ","14"
"C2PONIENTE","4511","119728","C2P-SANTAF-119728-4511-FIJA","14"
"C2PONIENTE","4573","108182","C2P-HORMIG-108182-4573-FIJA","13"
"C2PONIENTE","4573","108184","C2P-HORMIG-108184-4573-FIJA","13"
"C2PONIENTE","13215","13215","C2P-ELYAQU-13215-13215-PTZ-20M","13"
"C2PONIENTE","12556","121343","C2P-PLATER-121343-12556-FIJA","13"
"C2PONIENTE","6410","119285","C2P-HORMIG-119285-6410-FIJA","13"
"C2PONIENTE","4511","4511","C2P-SANTAF-4511-4511-PTZ","13"
"C2PONIENTE","3261","106068","C2P-POLANC-106068-3261-FIJA","13"
"C2PONIENTE","4573","108181","C2P-HORMIG-108181-4573-FIJA","13"
"C2PONIENTE","1513","118534","C2P-TACUBA-118534-1513-FIJA","13"
"C2PONIENTE","5829","110678","C2P-CUAJIM-110678-5829-FIJA","13"
"C2PONIENTE","C2P-TACUBA-3087-3087-PTZ","3087","C2P-TACUBA-3087-3087-PTZ","13"
"C2PONIENTE","7832","113413","C2P-TACUBA-113413-7832-FIJA","13"
"C2PONIENTE","4573","4573","C2P-HORMIG-4573-4573-PTZ","13"
"C2PONIENTE","12671","12671","C2P-PLATER-12671-12671-PTZ","13"
"C2PONIENTE","7878","119344","C2P-TACUBA-119344-7878-FIJA","13"
"C2PONIENTE","7393","7393","C2P-SOTELO-7393-7393-PTZ","13"
"C2PONIENTE","4502","124666","C2P-PLATER-124666-4502-FIJA","13"
"C2PONIENTE","4511","119727","C2P-SANTAF-119727-4511-FIJA","12"
"C2PONIENTE","4402","4402","C2P-SANTAF-4402-4402-PTZ","12"
"C2PONIENTE","4402","107756","C2P-SANTAF-107756-4402-FIJA","12"
"C2PONIENTE","4395","4395","C2P-PLATER-4395-4395-PTZ","12"
"C2PONIENTE","4402","107755","C2P-SANTAF-107755-4402-FIJA","12"
"C2PONIENTE","4657","4657","C2P-LARAZA-4657-4657-PTZ","12"
"C2PONIENTE","4534","121449","C2P-PLATER-121449-4534-FIJA","12"
"C2PONIENTE","4402","107753","C2P-SANTAF-107753-4402-FIJA","12"
"C2PONIENTE","235","100619","C2P-PLATER-100619-235-FIJA","12"
"C2PONIENTE","13277","13277","C2P-DINAMO-13277-13277-PTZ","12"
"C2PONIENTE","820","123082","C2P-DINAMO-123082-820-FIJA","12"
"C2PONIENTE","4657","108404","C2P-LARAZA-108404-4657-FIJA","12"
"C2PONIENTE","4373","120951","C2P-PLATER-120951-4373-FIJA","12"
"C2PONIENTE","4368","119773","C2P-PLATER-119773-4368-FIJA","12"
"C2PONIENTE","235","100618","C2P-PLATER-100618-235-FIJA","12"
"C2PONIENTE","12737","121441","C2P-SANTAF-121441-12737-FIJA","12"
"C2PONIENTE","4502","124665","C2P-PLATER-124665-4502-FIJA","12"
"C2PONIENTE","6403","120995","C2P-CLAVER-120995-6403-FIJA","11"
"C2PONIENTE","3153","3153","C2P-SOTELO-3153-3153-PTZ","11"
"C2PONIENTE","4373","120950","C2P-PLATER-120950-4373-FIJA","11"
"C2PONIENTE","4407","122170","C2P-PLATER-122170-4407-FIJA","11"
"C2PONIENTE","3153","105836","C2P-SOTELO-105836-3153-FIJA","11"
"C2PONIENTE","4657","108402","C2P-LARAZA-108402-4657-FIJA","11"
"C2PONIENTE","3153","105835","C2P-SOTELO-105835-3153-FIJA","11"
"C2PONIENTE","3153","105833","C2P-SOTELO-105833-3153-FIJA","11"
"C2PONIENTE","7834","7834","C2P-POLANC-7834-7834-PTZ","11"
"C2PONIENTE","12718","121349","C2P-PLATER-121349-12718-FIJA","11"
"C2PONIENTE","6403","120993","C2P-CLAVER-120993-6403-FIJA","11"
"C2PONIENTE","3153","105834","C2P-SOTELO-105834-3153-FIJA","11"
"C2PONIENTE","820","123081","C2P-DINAMO-123081-820-FIJA","11"
"C2PONIENTE","4569","122178","C2P-LARAZA-122178-4569-FIJA","11"
"C2PONIENTE","3109","105722","C2P-POLANC-105722-3109-FIJA","11"
"C2PONIENTE","3215","117850","C2P-POLANC-117850-3215-FIJA","11"
"C2PONIENTE","3215","117849","C2P-POLANC-117849-3215-FIJA","11"
"C2PONIENTE","3261","106067","C2P-POLANC-106067-3261-FIJA","11"
"C2PONIENTE","7834","113422","C2P-POLANC-113422-7834-FIJA","10"
"C2PONIENTE","7948","7948","C2P-TACUBA-7948-7948-PTZ","10"
"C2PONIENTE","7366","118622","C2P-TACUBA-118622-7366-FIJA","10"
"C2PONIENTE","5495","5495","C2P-SANANG-5495-5495-PTZ","10"
"C2PONIENTE","4368","119776","C2P-PLATER-119776-4368-FIJA","10"
